trail_name,trail_id,alt_id,ebike_id,ebike_alt_id,region,type,
Pogonip,826449,,9915236,,UCSC,Climb,
Firehouse,7131898,,,,UCSC,Climb,
Sarclacc Pit,30328665,,,,UCSC,Climb,
College 9 Hill,793588,,,,UCSC,Climb,
Engineering to Barrels,11537799,,19848648,,UCSC,Climb,
West Fuel Break,5914209,,17571208,,UCSC,Climb,
Sweetness Climb,25231064,2566713,9914881,24777708,UCSC,Climb,
Scenic Dirt,32567365,,,,UCSC,Climb,
Rincon,6692494,,27132015,,UCSC,Climb,
EMT Climb,4383933,,29490410,,UCSC,Climb,
EMT DH,13241010,,,,UCSC,DH,
Pogonip DH,982591,,19506793,,UCSC,DH,
Star Wars,635233,,14793696,,UCSC,DH,
Ground Hornet,24714347,,,,UCSC,DH,
Whip,24574637,,,,UCSC,DH,
Off Camber,20629210,,,,UCSC,DH,
Slag,25114810,,,,UCSC,DH,
Tourist Trap,35781132,,,,UCSC,DH,
Rad Trap,37035922,,,,UCSC,DH,
Dusty's,35786984,,26447498,,UCSC,DH,
Rad Delo,28916008,,,,UCSC,DH,
Lock 'em ups,8955149,,14793318,,UCSC,DH,
Wizards,24328218,,,,UCSC,DH,
B to I,19574740,,26976562,,UCSC,DH,
Kevin's,4872426,,,,UCSC,DH,
Downhill,14096049,,35980334,,UCSC,DH,
Smokes,30384816,,,,UCSC,DH,
Acid Drop,23021257,,,,UCSC,DH,
Kimbo Slice,13758027,,14922482,,UCSC,DH,
Airborne,19591627,,34932790,,UCSC,DH,
Magic Carpet,2364921,,23280060,,UCSC,DH,
Sweetness,951717,,9915793,,UCSC,DH,
Watertower Hill,21961306,,27092583,,Nisene,Climb,
Lower Watertower Climb,18708059,,27074495,,Nisene,Climb,
Fire Road to Top of Incline,638118,,27092591,,Nisene,Climb,
Fire Road to Santa Rosilia,1652037,,27072432,,Nisene,Climb,
Olive Springs to Nisene,8083856,,27072423,,Nisene,Climb,
Upper Watertower,19346561,,24916620,,Nisene,DH,
Lower Watertower,7152043,,27074447,,Nisene,DH,
Blacktail,28370646,,28370684,,Nisene,DH,
Powerlines,26490982,,26661713,,Nisene,DH,
Showtime,16108723,,,,Nisene,DH,
Sideshow,11346256,23547064,9872789,28647578,Nisene,DH,
Donut,9110905,,23571731,25644157,Nisene,DH,
Pig,13632323,,25716147,,Nisene,DH,
Fire Road DH,12525480,,,,Nisene,DH,
Bacon,6863702,,25879218,,Nisene,DH,
Secret Squirrel,15070499,,27105052,,Nisene,DH,
West Ridge DH Entrance,17164428,,27072468,,Nisene,DH,
Chinquapin,16600906,,17571208,,Empire/Wilder,Climb,
Engelmans Loop,20843587,,21984513,,Empire/Wilder,Climb,
Wilder Ridge,2799797,,27968144,,Empire/Wilder,Climb,
Baldwin Loop,31876374,,,,Empire/Wilder,Climb,
Mailboxes,657169,,27092663,,Empire/Wilder,DH,
Janky,34520593,,31756674,,Empire/Wilder,DH,
Jugs,13670413,,31465642,,Empire/Wilder,DH,
Crankcase,34720195,,34148121,,Empire/Wilder,DH,
Sour Milk,31621516,32773479,29908006,,Empire/Wilder,DH,
Barking Dogs,3855919,,10559464,,Empire/Wilder,DH,
Zane Grey,3973874,,10561193,,Empire/Wilder,DH,
4 Mile,7567360,,26112038,,Empire/Wilder,DH,
Enchanted Forest,693945,,9915360,,Empire/Wilder,DH,
ZZZs,13319748,,26030244,,Empire/Wilder,Misc,
Parking Lot to Sulphur,16417415,,20331575,,Demo,Climb,
Sulphur Springs,4743794,,23542999,,Demo,Climb,
Coral (from Nisene),579619,,27834646,,Demo,DH,"*should have been the climbing trail, messed up"
Ridge Trail (from Nisene),579617,,25237639,,Demo,DH,
Braille,7375226,,20465609,,Demo,DH,
Flow,11853521,,20465603,,Demo,DH,
Sawpit,23812128,,25237731,,Demo,DH,
Archery Range,33702671,,,,Delavega,Climb,
Connector,4010194,,,,Delavega,Climb,
Fire Road,806528,,,,Delavega,Climb,
Upper DH Course,16470970,,27503450,,Delavega,DH,
Lower DH Course,11496781,,,,Delavega,DH,
XC Lap,19361531,,,,Delavega,Misc,
Northside Climb,10250614,,27104965,,Buddah,Climb,
Daisy Dukes,18746945,,27104961,,Buddah,DH,
Berm Reynolds,1442520,,28308833,,Buddah,DH,
West Ridge to Buddah,4909366,,23031984,,Buddah,DH,
